"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"243",2018-09-29,"17:43:17",33.457813,-112.040991,"7","11",37.7,12,2.5,65.5,51.9
"244",2018-09-29,"17:44:17",33.457674,-112.040859,"7","11",36.4,13,1.3,38.5,37.8
"245",2018-09-29,"17:44:17",33.457708,-112.040844,"7","11",36.4,13,1.2,36.6,36.9
"246",2018-09-29,"17:44:17",33.457714,-112.040834,"7","11",36.4,13,1.2,36.6,36.9
"247",2018-09-29,"17:44:17",33.457693,-112.040848,"7","11",36.4,13,1.2,36.6,36.9
"248",2018-09-29,"17:03:17",33.451515,-112.046646,"3","12",38.2,12,1,59.5,50
"249",2018-09-29,"17:03:17",33.451513,-112.046694,"3","12",38.1,11,0.5,59.8,50.5
"250",2018-09-29,"17:04:17",33.451511,-112.046696,"3","12",38.1,11,0.5,59.8,50.5
"251",2018-09-29,"17:04:17",33.451511,-112.046696,"3","12",38.1,11,0.5,59.8,50.5
"252",2018-09-29,"17:04:17",33.451515,-112.046694,"3","12",38.1,11,0.5,59.8,50.5
"253",2018-09-29,"17:04:17",33.451528,-112.046703,"3","12",38.1,11,1.4,62.7,51.5
"254",2018-09-29,"17:04:17",33.451546,-112.046688,"3","12",38.1,11,1.4,62.7,51.5
"255",2018-09-29,"17:04:17",33.451546,-112.046685,"3","12",38.1,11,1.4,62.7,51.5
"256",2018-09-29,"17:05:17",33.451549,-112.046685,"3","12",38.1,11,1.4,62.7,51.5
"257",2018-09-29,"17:03:17",33.451528,-112.046625,"3","13",38.1,11,1.4,61.8,49.9
"258",2018-09-29,"17:03:17",33.451556,-112.046631,"3","13",38,12,0.6,65,52.9
"259",2018-09-29,"17:03:17",33.451573,-112.046638,"3","13",38,12,0.6,62.4,51.3
"260",2018-09-29,"17:03:17",33.451636,-112.046641,"3","13",38.1,12,0.5,63.1,52
"261",2018-09-29,"17:03:17",33.451668,-112.046663,"3","13",38,11,0.2,63.2,52.9
"262",2018-09-29,"17:43:17",33.457748,-112.041046,"7","13",37.5,13,1,63.3,50.8
"263",2018-09-29,"17:44:17",33.457738,-112.041051,"7","13",37.6,13,1.6,63.3,50.1
"264",2018-09-29,"17:44:17",33.457726,-112.04105,"7","13",37.7,12,0.8,63.2,51.2
"265",2018-09-29,"17:44:17",33.457709,-112.041046,"7","13",38.1,11,0.5,58.9,49.5
"266",2018-09-29,"17:44:17",33.457718,-112.041048,"7","13",38.1,11,0.5,58.9,49.5
"267",2018-09-29,"17:43:17",33.457723,-112.041035,"7","13",38.1,11,0.8,56,47.5
"268",2018-09-29,"17:44:17",33.457706,-112.041039,"7","13",38.1,11,0.8,56,47.5
"269",2018-09-29,"17:43:17",33.457716,-112.041018,"7","13",38.1,12,0.4,62.3,51.8
"270",2018-09-29,"17:43:17",33.457728,-112.040933,"7","13",37.8,12,0.5,59.3,49.6
"271",2018-09-29,"17:43:17",33.457768,-112.040981,"7","13",37.8,13,2.1,60.3,48.4
"272",2018-09-29,"17:43:17",33.457745,-112.041091,"7","13",37.8,12,3.1,64.6,49.7
"273",2018-09-29,"17:42:17",33.457821,-112.041089,"7","13",37.7,12,2.7,65.2,50.2
